Player,Key
Caleb Smith , 592761
Nick Neidert , 663734
Mike Morin , 573046
Justin Shafer , 596101
Elieser Hernandez , 622694
Brandon Kintzler , 445213
Stephen Tarpley , 605501
Alex Vesia , 681911
Josh A. Smith , 595001
Jordan Yamamoto , 657141
Daniel Castano , 641447
James Hoyt , 624586
Sterling Sharp , 643532
Nick Vincent , 543883
Richard Bleier , 542947
Pat Venditte , 519381
Jacob deGrom , 594798
Edwin Diaz , 621242
Jeurys Familia , 544727
Hunter Strickland , 519326
Justin Wilson , 458677
Seth Lugo , 607625
Michael Wacha , 608379
Steven Matz , 571927
Robert Gsellman , 607229
Drew Smith , 622098
Franklyn Kilome , 642584
Dellin Betances , 476454
David Peterson , 656849
Walker Lockett , 621141
Corey Oswalt , 621261
Jared Hughes , 453172
Paul Sewald , 623149
Chasen Shreve , 592741
Rick Porcello , 519144
Brad Brach , 542960
Luis Guillorme , 641645
Max Scherzer , 453286
Daniel Hudson , 543339
Tanner Rainey , 663432
Kyle Finnegan , 640448
Erick Fedde , 607200
Sam Freeman , 518693
James Bourque , 630263
Javy Guerra , 642770
Austin Voth , 608723
Stephen Strasburg , 544931
Seth Romero , 656913
Patrick Corbin , 571578
Dakota Bacus , 621290
Sean Doolittle , 448281
Wander Suero , 593833
Will Harris , 501789
Anibal Sanchez , 434671
Ryne Harper , 607560
Miguel Castro , 612434
Tanner Scott , 656945
Cody Carroll , 606944
Mychal Givens , 571710
John Means , 607644
Evan Phillips , 623465
Shawn Armstrong , 542888
Cole Sulser , 642121
David Hess , 605276
Paul Fry , 643316
Travis Lakins Sr. , 664042
Keegan Akin , 669211
Alex Cobb , 502171
Asher Wojciechowski , 592879
Thomas Eshelman , 664045
Wade LeBlanc , 453281
Tommy Milone , 543548
Bryan Holaday , 592407
Luis Patino , 672715
Dinelson Lamet , 659275
David Bednar , 670280
Pierce Johnson , 572955
Drew Pomeranz , 519141
Chris Paddack , 663978
Garrett Richards , 572070
Luis Perdomo , 606131
Emilio Pagan , 641941
Cal Quantrill , 615698
Kirby Yates , 489446
Matt Strahm , 621381
Craig Stammen , 489334
Tim Hill , 657612
Joey Lucchesi , 664192
Zach Davies , 605200
Zack Wheeler , 554430
Ramon Rosso , 665759
Spencer Howard , 675921
Austin Davis , 656354
Zach Eflin , 621107
Nick Pivetta , 601713
Aaron Nola , 605400
Vince Velasquez , 592826
Tommy Hunter , 488984
Jake Arrieta , 453562
Connor Brogdon , 641401
Cole Irvin , 608344
Hector Neris , 593576
Jose Alvarez , 501625
Adam Morgan , 605388
Reggie McClain , 596035
Deolis Guerra , 500610
Trevor Kelley , 665001
Blake Parker , 453284
Neil Walker , 435522
Nick Burdi , 595897
Keone Kela , 605309
Dovydas Neverauskas , 596720
Nick Mears , 683232
Chad Kuhl , 641771
Yacksel Rios , 605441
JT Brubaker , 664141
Geoff Hartlieb , 664129
Michael Feliz , 593140
Nik Turley , 543867
Mitch Keller , 656605
Miguel Del Pozo , 600887
Chris Stratton , 608717
Cody Ponce , 664074
Richard Rodriguez , 593144
Steven Brault , 643230
Clay Holmes , 605280
Joe Musgrove , 605397
Brandon Waddell , 663399
Trevor Williams , 592866
Derek Holland , 502706
Sam Howard , 607572
Kyle Crick , 605195
John Ryan Murphy , 571974
Jonathan Hernandez , 642546
Rafael Montero , 606160
Lance Lynn , 458681
Ian Gibaut , 664139
Edinson Volquez , 450172
Joely Rodriguez , 570257
Taylor Hearn , 621368
Jose Leclerc , 600917
Kyle Gibson , 502043
Jimmy Herget , 623474
Joe Palumbo , 643478
Brett Martin , 656685
Jordan Lyles , 543475
Kolby Allard , 663465
Corey Kluber , 446372
Nick Goody , 580792
Luke Farrell , 608652
Mike Minor , 501985
Jesse Chavez , 445926
Tyler Glasnow , 607192
Pete Fairbanks , 664126
Jose Alvarado , 621237
Diego Castillo , 650895
Blake Snell , 605483
Nick Anderson , 623433
John Curtiss , 595928
Andrew Kittredge , 552640
Yonny Chirinos , 630023
Charlie Morton , 450203
Jalen Beeks , 656222
Anthony Banda , 607455
Ryan Thompson , 657044
Aaron Loup , 571901
Oliver Drake , 543118
Trevor Richards , 670950
Chaz Roe , 475054
Aaron Slegers , 642083
Ryan Yarbrough , 642232
Sean Gilmartin , 543219
Mike Brosseau , 670712
Nathan Eovaldi , 543135
Robert Stock , 476594
Ryan Brasier , 518489
Matt Barnes , 598264
Heath Hembree , 592390
Colten Brewer , 605155
Austin Brice , 592169
Chris Mazza , 607391
Josh Osich , 592612
Martin Perez , 527048
Dylan Covey , 592229
Brandon Workman , 519443
Marcus Walden , 519393
Phillips Valdez , 570488
Jeffrey Springs , 605488
Kyle Hart , 606996
Zack Godley , 643327
Matt Hall , 664180
Ryan Weber , 543901
Jose Peraza , 606299
Kevin Plawecki , 608700
Michael Lorenzen , 547179
Luis Castillo , 622491
Raisel Iglesias , 628452
Tejay Antone , 622088
Nate Jones , 518858
Trevor Bauer , 545333
Anthony DeSclafani , 543101
Cody Reed , 642003
Amir Garrett , 607237
Joel Kuhnel , 669270
Tyler Mahle , 641816
Jose De Leon , 592254
Lucas Sims , 608371
Sonny Gray , 543243
Robert Stephenson , 596112
Tyler Thornburg , 592804
Pedro Strop , 467008
Wade Miley , 489119
Matt Davidson , 571602
German Marquez , 608566
Daniel Bard , 453268
Carlos Estevez , 608032
Antonio Senzatela , 622608
Tyler Kinley , 641755
Jairo Diaz , 545064
Jeff Hoffman , 656546
Ryan Castellani , 624418
Yency Almonte , 622075
Joe Harvey , 642840
Jon Gray , 592351
Kyle Freeland , 607536
Chi Chi Gonzalez , 592346
James Pazos , 572021
Wade Davis , 451584
Phillip Diehl , 670426
Josh Staumont , 622251
Trevor Rosenthal , 572096
Ronald Bolanos , 671790
Scott Barlow , 605130
Tyler Zuber , 676604
Kris Bubic , 663460
Brad Keller , 641745
Brady Singer , 663903
Kyle Zimmer , 622092
Greg Holland , 518813
Danny Duffy , 518633
Glenn Sparkman , 642098
Ian Kennedy , 453178
Jake Newberry , 623470
Jorge Lopez , 605347
Gabe Speier , 642100
Foster Griffin , 656492
Richard Lovelady , 663992
Jakob Junis , 596001
Kevin McCarthy , 641838
Mike Montgomery , 543557
Gregory Soto , 642397
Jose Cisnero , 542585
Kyle Funkhouser , 608335
Spencer Turnbull , 605513
Michael Fulmer , 605242
Bryan Garcia , 650530
Joe Jimenez , 641729
Ivan Nova , 467100
Rony Garcia , 665621
Daniel Norris , 596057
Buck Farmer , 571656
Matthew Boyd , 571510
Beau Burrows , 663366
Carson Fulmer , 608334
Anthony Castro , 621593
David McKay , 641853
Tyler Alexander , 641302
John Schreiber , 670167
Jorge Alcala , 660896
Trevor May , 543507
Jose Berrios , 621244
Zack Littell , 641793
Taylor Rogers , 573124
Sean Poppen , 664092
Tyler Duffey , 608648
Kenta Maeda , 628317
Jake Odorizzi , 543606
Matt Wisler , 605538
Randy Dobnak , 677976
Cody Stashak , 664054
Homer Bailey , 456701
Lewis Thorpe , 626929
Cory Gearrin , 518715
Caleb Thielbar , 573204
Tyler Clippard , 461325
Rich Hill , 448179
Devin Smeltzer , 656970
Sergio Romo , 489265
Zack Burdi , 641420
Dylan Cease , 656302
Codi Heuer , 676051
Jimmy Cordero , 622772
Jose Ruiz , 614179
Aaron Bummer , 607481
Kelvin Herrera , 516969
Lucas Giolito , 608337
Ian Hamilton , 641656
Jimmy Lambert , 669424
Alex Colome , 517008
Matt Foster , 641582
Carlos Rodon , 607074
Reynaldo Lopez , 625643
Evan Marshall , 605359
Drew Anderson , 623454
Ross Detwiler , 446321
Steve Cishek , 518553
Gio Gonzalez , 461829
Jace Fry , 605240
Dallas Keuchel , 572971
Gerrit Cole , 543037
Jonathan Loaisiga , 642528
Albert Abreu , 656061
Tommy Kahnle , 592454
Nick Nelson , 656793
Chad Green , 643338
Zack Britton , 502154
Brooks Kriske , 621139
Michael King , 650633
Luis Cessa , 570666
Jordan Montgomery , 656756
Ben Heller , 621294
David Hale , 571735
James Paxton , 572020
Adam Ottavino , 493603
Masahiro Tanaka , 547888
Jonathan Holder , 656547
J.A. Happ , 457918
Luis Avilan , 501593
