pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CS,2020-08-12,63.3,-0.8686594728760729,6.317773673464278,Zack Greinke,543063,425844,,ball,,,,,13,,R,L,R,HOU,SF,B,,,1,2,2020,0.9663357044058376,-1.0139960613443395,-0.87,0.6,,,,0,7,Top,,,,,455117,,,-1.430841642085393,-92.0699862226968,0.1646506786265618,5.673470664286086,16.101843137141994,-38.146173101554346,3.18,1.56,,,,62.379,2247,5.905237019828959,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.59476491617104,,,,,,,,56,4,Curveball,5,1,1,5,1,5,1,5,Standard,Standard
SL,2020-08-12,81.8,-1.1498287350161072,6.3515831720485,Zack Greinke,543063,425844,,ball,,,,,14,,R,L,R,HOU,SF,B,,,0,2,2020,0.7155499589488223,0.2470549209078225,0.66,0.07,,,,0,7,Top,,,,,455117,,,2.6784869314268054,-118.96179446061949,-8.048630628740236,6.295777749813044,22.507125232255635,-28.506925950608274,3.31,1.56,,,,81.445,2405,6.04979402744903,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.450207908550965,,,,,,,,56,3,Slider,5,1,1,5,1,5,1,5,Standard,Standard
FF,2020-08-12,86.0,-1.1444492419424657,6.317198936759146,Zack Greinke,543063,425844,,called_strike,,,,,7,,R,L,R,HOU,SF,S,,,0,1,2020,-0.06844537258462019,1.4663407436216096,-0.56,2.0,,,,0,7,Top,,,,,455117,,,1.5100658489568204,-125.0542505679195,-6.9282500067608686,-1.023834545477924,25.30642870567257,-15.59955315598442,3.17,1.56,,,,85.7,2321,6.14295838399753,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.357043552002466,,,,,,,,56,2,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard
CH,2020-08-12,75.2,-0.8883850708253698,6.281541073143005,Zack Greinke,543063,425844,,called_strike,,,,,11,,R,L,R,HOU,SF,S,,,0,0,2020,0.2954994965480342,1.2814541152747094,-0.56,3.48,,,,0,7,Top,,,,,455117,,,0.16107443651362766,-109.55888887609268,-0.9335167844261748,2.3446447042802694,20.03356976275373,-21.929110438586182,3.18,1.56,,,,74.783,1905,5.99331899703711,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.50668293896289,,,,,,,,56,1,Changeup,5,1,1,5,1,5,1,5,Standard,Standard
FF,2020-08-12,87.6,-0.9816199795251068,6.428914868439192,Zack Greinke,452254,425844,field_out,hit_into_play,,,,,2,"Hunter Pence grounds out, third baseman Alex Bregman to first baseman Yuli Gurriel.  ",R,R,R,HOU,SF,X,5.0,ground_ball,2,1,2020,-0.12666134740313473,1.437773678560908,0.12,2.92,,,,2,6,Top,88.94,154.86,,,455117,,,2.9240649724337135,-127.49039222819248,-5.263457576495755,-2.017742271140269,28.072135421560077,-15.6398804985817,3.55,1.63,61.0,98.6,1.0,87.15700000000001,2403,6.162145427774201,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.33785650822579,0.511,0.47100000000000003,0.0,1.0,0.0,0.0,4.0,46,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
CH,2020-08-12,78.0,-0.45761152266849897,6.325157399927381,Zack Greinke,452254,425844,,ball,,,,,14,,R,R,R,HOU,SF,B,,,1,1,2020,0.016751235759615343,1.5147822611869743,0.59,1.62,,,,2,6,Top,,,,,455117,,,2.222584921119746,-113.41120852229577,-5.960713767760121,-0.2896652045804115,22.114252394948355,-18.225832773384933,3.48,1.63,,,,77.722,2083,6.28551917402628,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.21448276197371,,,,,,,,46,3,Changeup,1,1,1,1,1,1,1,1,Standard,Standard
FF,2020-08-12,87.9,-0.7300824806923927,6.516955791933516,Zack Greinke,452254,425844,,called_strike,,,,,14,,R,R,R,HOU,SF,S,,,1,0,2020,0.19826181507778065,1.5510918278804455,0.8,1.87,,,,2,6,Top,,,,,455117,,,3.2720420944103115,-127.77341586680195,-8.311472951006856,1.4775834150635063,26.97929278439241,-13.664994171193793,3.45,1.63,,,,87.469,2384,6.131581012741799,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.368420923258206,,,,,,,,46,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
CS,2020-08-12,68.2,-0.5750825393505014,6.339360384872793,Zack Greinke,452254,425844,,ball,,,,,14,,R,R,R,HOU,SF,B,,,0,0,2020,0.8289621617910083,-1.1714887957083475,1.31,0.28,,,,2,6,Top,,,,,455117,,,2.2031171815180657,-99.14041374944088,-1.4170231458761082,4.931216342186105,19.654060567647644,-39.74437234417965,3.25,1.63,,,,67.206,2324,6.081603776773799,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.41839815922621,,,,,,,,46,1,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
SL,2020-08-12,83.5,-0.6537825747029784,6.557128971981991,Zack Greinke,446334,425844,strikeout,swinging_strike,,,,,14,Evan Longoria strikes out swinging.  ,R,R,R,HOU,SF,S,2.0,,1,2,2020,0.813823440381223,0.1849952389594908,1.63,1.33,,,,1,6,Top,,,,,455117,,,3.636206640683176,-121.50665721381223,-5.943086348325565,7.339010278071957,24.030030671097325,-29.37494298453587,3.69,1.76,,,,83.07700000000001,2445,6.027583073673981,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.47241886232602,,,0.0,1.0,0.0,0.0,,45,4,Slider,1,1,1,1,1,1,1,1,Standard,Standard
CS,2020-08-12,68.4,-0.6934055421777382,6.423118001214515,Zack Greinke,446334,425844,,called_strike,,,,,1,,R,R,R,HOU,SF,S,,,1,1,2020,0.9261989577705227,-1.0434651709035057,-0.54,3.24,,,,1,6,Top,,,,,455117,,,-1.1879936227380639,-99.35428942509027,3.6358197141437993,6.277341265883701,18.73481635277698,-39.933019257470505,3.49,1.76,,,,67.04,2293,5.673847485361559,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.826154450638434,,,,,,,,45,3,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
