pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FF,2020-08-15,94.4,-3.713186915259045,5.418355897857086,Jose Berrios,595956,621244,,ball,,,,,14,,R,R,R,MIN,KC,B,,,2,2,2020,-0.9393067585110824,1.1149861005131936,1.06,2.09,,,609275.0,2,4,Top,,,,,641598,,,14.52680947030772,-136.75071996681731,-5.4868487031121225,-14.728116518092037,26.731364247448212,-17.03750674524547,3.49,1.66,,,,94.95700000000001,2198,6.6051751280380895,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.894826807961906,,,,,,,,30,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
SI,2020-08-15,93.2,-3.5457966665367366,5.408114156206388,Jose Berrios,595956,621244,,called_strike,,,,,9,,R,R,R,MIN,KC,S,,,2,1,2020,-1.1351372705368876,0.8789910557657964,0.59,1.93,,,609275.0,2,4,Top,,,,,641598,,,13.201325569478538,-135.0781043630501,-5.170974025441391,-16.52654113432532,25.439547926408782,-20.403350329425518,3.49,1.64,,,,94.279,2130,6.8381775005525895,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.66182443544741,,,,,,,,30,4,Sinker,1,1,1,1,1,1,1,1,Standard,Standard
CU,2020-08-15,82.5,-3.96073504761823,5.303410753551066,Jose Berrios,595956,621244,,blocked_ball,,,,,14,,R,R,R,MIN,KC,B,,,1,1,2020,1.1679853817783958,-0.22785872989849404,0.83,0.22,,,609275.0,2,4,Top,,,,,641598,,,8.662080483528591,-119.88343800722677,-4.599418089386153,9.528853504167168,23.736133667291945,-33.64140607591004,3.49,1.62,,,,82.695,2376,6.55035616440905,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.94964577159094,,,,,,,,30,3,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
SI,2020-08-15,93.3,-3.6838288594970017,5.3791358926927115,Jose Berrios,595956,621244,,called_strike,,,,,14,,R,R,R,MIN,KC,S,,,1,0,2020,-1.4521485386132018,0.8304914095637721,0.01,1.59,,,609275.0,2,4,Top,,,,,641598,,,12.786566381725766,-135.17305776486228,-5.846789507683068,-20.492330902203644,27.409134460385125,-20.83034757776262,3.56,1.62,,,,94.124,2156,6.8539047972163605,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.64609713878364,,,,,,,,30,2,Sinker,1,1,1,1,1,1,1,1,Standard,Standard
CU,2020-08-15,82.5,-3.87579658985901,5.282873180056657,Jose Berrios,595956,621244,,ball,,,,,14,,R,R,R,MIN,KC,B,,,0,0,2020,1.2373754067976603,-0.3981034879954177,0.69,1.16,,,609275.0,2,4,Top,,,,,641598,,,8.023912905109647,-119.95462002198065,-2.03786618864752,10.216152587669836,24.9010058312968,-35.7964053263781,3.49,1.56,,,,82.766,2273,6.677070949186129,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.82293098681387,,,,,,,,30,1,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
CH,2020-08-15,81.9,-3.93980178214316,5.081052104305745,Jose Berrios,609275,621244,force_out,hit_into_play,,,,,13,"Adalberto Mondesi grounds into a force out, shortstop Jorge Polanco to second baseman Marwin Gonzalez.   Nicky Lopez out at 2nd.    Adalberto Mondesi to 1st.  ",R,L,R,MIN,KC,X,6.0,ground_ball,0,1,2020,-1.096509981557173,-0.052521422785551566,-1.06,2.03,,,670032.0,1,4,Top,114.33,154.23,,,641598,,,8.661665445530081,-119.0660665584586,-0.2545709644148291,-12.017695515215605,20.87585985513628,-32.83809930848345,3.45,1.58,35.0,84.2,-1.0,82.581,1495,6.60159913468887,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.89840280131113,0.205,0.185,0.0,1.0,0.0,0.0,2.0,29,2,Changeup,1,1,1,1,1,1,1,1,Standard,Standard
CH,2020-08-15,82.3,-3.868268529758992,5.208825246623459,Jose Berrios,609275,621244,,swinging_strike,,,,,13,,R,L,R,MIN,KC,S,,,0,0,2020,-1.0611134611293445,-0.19249811611588613,-1.09,1.41,,,670032.0,1,4,Top,,,,,641598,,,8.41184714410926,-119.68901495364805,-1.7895866341879296,-11.722074285579549,20.34278771416658,-33.91834400482696,3.45,1.58,,,,83.29299999999999,1401,6.71217973342796,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.78782220257205,,,,,,,,29,1,Changeup,1,1,1,1,1,1,1,1,Standard,Standard
FF,2020-08-15,95.6,-3.669441212584986,5.366846122940833,Jose Berrios,670032,621244,walk,ball,,,,,14,Nicky Lopez walks.  ,R,L,R,MIN,KC,B,,,3,2,2020,-1.2108510013387048,1.0742515600687303,0.43,1.21,,,,1,4,Top,,,,,641598,,,13.51322308418226,-138.5081951368084,-7.791311028704593,-18.396202167929136,27.395185424521998,-16.69224667918719,3.05,1.37,,,,95.939,2238,6.4674450750430195,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,54.03255686095697,,,0.7,1.0,0.0,0.0,,28,7,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
SI,2020-08-15,93.9,-3.75813391037308,5.394601375114782,Jose Berrios,670032,621244,,foul,,,,,1,,R,L,R,MIN,KC,S,,,3,2,2020,-1.2478482469861538,0.8508222878378775,-0.55,2.79,,,,1,4,Top,,,,,641598,,,11.080581998994749,-136.4698027953165,-2.9714141616669605,-17.827026010153922,25.137370710712837,-21.00196285375246,3.05,1.42,237.0,83.4,57.0,94.698,2210,6.45994610500676,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,54.04005583099324,,,,,,,,28,6,Sinker,1,1,1,1,1,1,1,1,Standard,Standard
CU,2020-08-15,84.7,-3.846556935120612,5.181896567318566,Jose Berrios,670032,621244,,ball,,,,,14,,R,L,R,MIN,KC,B,,,2,2,2020,0.9584978822489284,-0.11929225848116215,1.22,1.05,,,,1,4,Top,,,,,641598,,,9.94177719904174,-123.08208682211729,-3.1217376601311164,8.012000405022961,22.24100646881276,-32.9986596112796,3.05,1.39,,,,85.178,2396,6.47507326713698,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,54.024928668863026,,,,,,,,28,5,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
